assessement_on_time,acknowledgement_on_time,start_to_s1_time,start_to_s0_time,domain,skywise_pps_id,aircraft_program,pps_title,pps_start_date,originator,owner,facilitator,reoccurence,complexity_level,pps_level,confidential,severity,occurence_growth,detection_urgency,risk_priority_number,product_name,unit,ata,station,external_customer_issues,customer_name,list_impacted_product_serial_number,list_impacted_product_part_number,list_impacted_product_name,list_impacted_product_date,list_impacted_product_location,list_impacted_product_additional_information,trigger_name,trigger_type,trigger_reference,sap_system,impact_safety,impact_safety_description,impact_quality,impact_quality_description,impact_cost,impact_cost_description,impact_delivery,impact_delivery_description,impact_people,impact_people_description,issue_detection_date,what_issue_detected_owner_view,what_issue_detected_originator_view,where_issue_detected_owner_view,where_issue_detected_originator_view,when_issue_detected_owner_view,when_issue_detected_originator_view,who_issue_detected_owner_view,who_issue_detected_originator_view,how_issue_detected_owner_view,how_issue_detected_originator_view,problem_description,pictures_description,system_status,latest_status,status_draft_time,status_s0_time,status_s1_time,status_s4_time,status_s5_time,status_s6_time,status_s7_time,status_stop_time,status_clos_time,status_dlfl_time,ishikawa_material,ishikawa_machine_tools,ishikawa_method_process,ishikawa_maintenance,ishikawa_people,ishikawa_environment_culture,complementaty_information,date_action_plan_defined,five_times_why_tool_answer_1,statement_confirmation_answer_1,five_times_why_tool_answer_2,statement_confirmation_answer_2,five_times_why_tool_answer_3,statement_confirmation_answer_3,five_times_why_tool_answer_4,statement_confirmation_answer_4,five_times_why_tool_answer_5,statement_confirmation_answer_5,root_cause_description,root_cause_classif_description,other_case,other_case_comments,poka_yoke,poka_yoke_comments,documentation_up_to_date,documentation_up_to_date_comments,problem_or_corrective_action_communicated_to_stakeholder,problem_or_corrective_action_communicated_to_stakeholder_comments,using_operational_process_confirmation,using_operational_process_confirmation_comments,best_practice,successful_comments,planned_closure_date,closure_date,owner_signature_date,facilitator_signature_date,originator_signature_date,mft_area,skywise_non_conformity_id,skywise_concession_id,skywise_sari_id,skywise_event_id,skywise_audit_id,arp_id,affected_supplier,is_deleted
100,0,50.0,50.0,1P,000209942890,[A320NEO],1P - SMS PW fan blade redesign missing calibration for Flight Clearance,2023-04-17,1PV,Q1YP,Q1YP,N,1,1,false,08,01,10,0080,[PW Fan Blades redesign],,[7X],,N,,,,,,,,[OTHERS],[OTH],[N/A],,true,,true,,true,,false,,false,,2023-04-03," 
 Full set of Pratt <(>&<)> Whitney Fan Blades redesign not caracterized 
 ",," 
 In Design Office",," 
 fan blades installation: mid january 2023 
 detection of discrepancy: mid february 2023 
 PPS MFT building 3 april 2023",," 
 Design Office",," 
 informal discussion relating to new fan blades performance, realisation from the team that data was missing",," 
 Any engine or fan blades set delivered to Airbus has to be calibrated, at the test stand, by engine manufacturer prior to delivery to caracterized associated engine thrust and define potential aircraft limitation or trim the engine 
 For the new fan blades redesign it appears that the blades were sent to Airbus without those mandatory calibration tests",,"[DRFT, S0, S1, S4, S1, S4, S1, S4]",S4,[2023-04-17 11:11:02],2023-05-23,2023-05-23,"[2023-06-13 09:07:30, 2023-06-13 09:23:02, 2023-06-13 10:07:01]",,,,,,,,," 
 Redesign fan blades calibration at the test stand was not performed",,,,,2023-05-30," 
 Redesign fan blades calibration at the test stand was not performed",," 
 Request from Airbus to receive parts as soon as available to secure on time delivery to compensate already announced delays to support icing flight test campaign window (push back 1 year otherwise)",," 
 Missing tests not identified because OAD not implicated in Safety of flight discussion",," 
 OAD involvement not required during Safety of flight discussion",," 
 Lack of checklist for SoF and Lack of knowledge",,"[OAD not implicated during Safety of flight discussion because of:
- lack of knowledge it was necessary
- no document requested it, Urgent request for parts and SI done quickly to avoid missing natural icing flight test window]","[Proceso-No descrito  ||  Process-Not described  ||  Processus-Non décrit  ||  Prozess-Nicht beschrieben, Andere  ||  Autres  ||  Others  ||  Otros]",,,,,,,,,,,false,,,,,,,,,[],[],[],[],,,false
100,100,33.0,21.0,1V,000210053898,[A321],1V - SMS - Engine cranking started while an operator was still working on Pylon area,2023-05-11,1VXT,1VIO,Q1V,N,1,1,false,10,01,05,0050,[MSN 6839],,[ATA28],,N,,,,,,,,[OTHERS],[OTH],[TER-2023-04/0005],,true,,true,,true,,false,,true,,2023-04-20," 
 Engine cranking started while an operator was still in the pylon area",," 
 In the cabin, through the video in the pylon area 
 and from the ground, by an operator",," 
 Few seconds after the engine cranking started",," 
 An EASA member and a ground operator",," 
 By video and visually on ground",," 
 During Firex test, engine no. 2 cranking started while an operator was still working on pylon area",,"[DRFT, S0, S1, S4, S1, S4, S1, S4, S1, S4, S1, S4]",S4,[2023-05-11 14:54:01],2023-05-11,2023-05-23,"[2023-09-04 18:30:09, 2023-09-11 15:12:31, 2023-10-30 16:52:20, 2023-10-31 16:31:21, 2023-12-14 12:59:53]",,,,,,,,,,,,,,2023-05-31," 
 “Maintain communication between the ground and the cockpit” voluntarily not respected. Alternative used.",," 
 Inadequate real-time risk assessment (positive signs that installation was completed and area was clear).",,,,,,,,"[Afternoon team has not participated to previous test, nor to morning rehearsal, EASA presence adding pressure, Inadequate real-time risk assessment (positive signs that installation was completed and area was clear)., No lessons learnt briefed from previous test, Temperature of the bottle increasing adding pressure, Briefing inadequate: no briefing instructions between the morning and afternoon ground teams, Complex and rare test, MSN was not the one the TFE is affected to, Non-availability of a/c to enable training on installation before actual test, Reduced number of firex bottles adding pressure, SOVAM access rights not suited for the team in place, Sharing of the Bikini area with the VOLCAN campaign, Test programme planning already rescheduled and late, Too many people for the test, “Maintain communication between the ground and the cockpit” voluntarily not respected. Alternative used., Weather conditions degrading adding pressure, Modification of installation procedure during test, SOVAM used to onboard people]","[Arbeitsbedingungen-Ressourcenmanagement  ||  Cond.de trabajo-Gestión de recursos  ||  Conditions de travail-Tâche allouée et gestion des  ||  Work.cond.-Task alloc. and Resources Managmt, Andere  ||  Autres  ||  Others  ||  Otros, Andere  ||  Autres  ||  Others  ||  Otros, Andere  ||  Autres  ||  Others  ||  Otros, Andere  ||  Autres  ||  Others  ||  Otros, Arbeitsbedingungen-Ressourcenmanagement  ||  Cond.de trabajo-Gestión de recursos  ||  Conditions de travail-Tâche allouée et gestion des  ||  Work.cond.-Task alloc. and Resources Managmt, Mensch-Nicht ausgebildet  ||  People-Not trained  ||  Persona-No entrenada  ||  Personnes-Non formées, Arbeitsbedingungen-Ressourcenmanagement  ||  Cond.de trabajo-Gestión de recursos  ||  Conditions de travail-Tâche allouée et gestion des  ||  Work.cond.-Task alloc. and Resources Managmt, Arbeitsbedingungen-Ressourcenmanagement  ||  Cond.de trabajo-Gestión de recursos  ||  Conditions de travail-Tâche allouée et gestion des  ||  Work.cond.-Task alloc. and Resources Managmt, Andere  ||  Autres  ||  Others  ||  Otros, Herramienta-No validada  ||  Outils-Non validés pour l'utilisation  ||  Tools-Not validated for use  ||  Werkzeug-Nicht validiert, Arbeitsbedingungen-Ressourcenmanagement  ||  Cond.de trabajo-Gestión de recursos  ||  Conditions de travail-Tâche allouée et gestion des  ||  Work.cond.-Task alloc. and Resources Managmt, Arbeitsbedingungen-Planung  ||  Cond.de trabajo-Planificación  ||  Conditions de travail-Planning (inexistant, mal re  ||  Work.cond.-Planning (not, poor, etc ...), Andere  ||  Autres  ||  Others  ||  Otros, Mensch-Bewusste Missachtung der Anforderungen  ||  People-Deliberate non respect of reqs  ||  Persona-Ignoración deliberada de requisitos  ||  Personnes-Non respect délibéré des exigences, Andere  ||  Autres  ||  Others  ||  Otros, Andere  ||  Autres  ||  Others  ||  Otros, Herramienta-No validada  ||  Outils-Non validés pour l'utilisation  ||  Tools-Not validated for use  ||  Werkzeug-Nicht validiert]",,,,,,,,,,,false,,,,,,,DOA,,[],[],[],[],,,false
100,100,33.0,20.0,1V,000210489484,[A321NEO],1V - SMS - Wrong Data Entry Plug (Rating Plug) configuration on MSN 6839 (CFM LEAP),2023-08-31,1VXT,1VVID,Q1VA,N,1,1,false,10,04,04,0160,[6839],,[73],,N,,,,,,,,"[TEST, SARI]","[SAR, TES]","[SE-23.09449, TER-2023-08/0004]",,true,,true,,true,,false,,false,,2023-08-18," 
 CFM LEAP Engine Thrust Rating Plugs: wrong configuration from 21/07/23 to 04/08/23: 
  
 _ Source F467-17: on Engine #1 (ESN 598583): Rating Plug 1A35A P/N: 2531M61P02 S/N: UNLJ3824 already installed since F460-6 instead of Rating Plug 1A35AX P/N 2531M61P81AA asked in SI C73PV0014443 - C 
  
 _ Source F467-18: on Engine #2 (ESN 599274): Rating Plug 1A35A P/N: 2531M61P02 S/N: UNLK0458 already installed since F460-5 instead of Rating Plug 1A35AX P/N 2531M61P81AA asked in SI C73PV001429 – D",," 
 on MSN 6839 Engine 1 <(>&<)> 2",," 
 04/08/2023",," 
 ETIENNE Cedric - CFM for PP <(>&<)> MONOT Yann - CFM for PP",," 
 during F467-17 <(>&<)> F467-18 Rating plug change (SI_C73PV001443_D <(>&<)> SI_C73PV001429_E SI application)",," 
 On 04/08/23, during F467-17 <(>&<)> F467-18 Rating plug change (SI_C73PV001443_D <(>&<)> SI_C73PV001429_E SI application), on A321 NEO MSN 6839 Engine 1 (ESN 598583) <(>&<)> 2 (ESN 599274), ETIENNE Cedric - CFM for PP <(>&<)> MONOT Yann - CFM for PP discovered CFM LEAP Engine Thrust Rating Plugs wrong configuration: 
 _ Rating Plug 1A35A P/N: 2531M61P02 S/N: UNLJ3824 already installed since F460-6 instead of Rating Plug 1A35AX P/N 2531M61P81AA asked in SI C73PV0014443 - C 
 _ Rating Plug 1A35A P/N: 2531M61P02 S/N: UNLK0458 already installed since F460-5 instead of Rating Plug 1A35AX P/N 2531M61P81AA asked in SI C73PV001429 – D",,"[DRFT, S0, S1, S4, S5, S1, S4, S1, S4, S5, S4, S5]",S5,[2023-08-31 16:56:29],2023-09-07,2023-09-20,"[2023-10-04 16:02:57, 2023-10-04 17:01:47, 2023-10-06 15:22:12, 2023-10-18 12:51:54]","[2023-10-04 16:04:23, 2023-10-18 10:49:38, 2023-10-18 12:52:23]",,,,,,," 
 _ Airbus Logbook: no alert/showstopper to avoid the same SI application request consecutively"," 
 _ detection process A1098 not applied 
 _ traceability process M1113 not applied 
 _ SI process A2846: split between supplier <(>&<)> Airbus 
 _ SI process A2846: SI re-use condition 
 _ SI content A2846: difference between SA <(>&<)> WB 
 _ different teams working on redundant systems (install, inspection) only for ETOPS process 
 ",," 
 _ ALB request Interpretation 
 _ no application of SI (retests + PN/SN) 
 _ partial / final stamp mindset 
 _ competences/trainings"," 
 _ Communication 
 _ Speak up / listen up 
 _ partial / final stamp mindset",,2023-10-03," 
 refer to attached ""5 Why Tree""",,,,,,,,,,"[task sharing not clear in SI, No configuration check before new request, no robust traceability tool: only Human factor
(CAIR matching with ALB), ""final stamp following partial stamp"" referential lacking precision, Lack of referential knowledge regarding double source of requests misleading taken into account, no speak up to challenge the request]","[Doc.-Contenido inadecuado  ||  Doc.-Content not adequate  ||  Doc.-Contenu non approprié  ||  Dok.-Inhalt nicht ausreichend, Andere  ||  Autres  ||  Others  ||  Otros, Herramienta-No disponible  ||  Outils-Non disponible  ||  Tools-Not availiable  ||  Werkzeug-Nicht verfügbar, Proceso-No descrito  ||  Process-Not described  ||  Processus-Non décrit  ||  Prozess-Nicht beschrieben, Proceso-No conocido  ||  Process-Not known  ||  Processus-Inconnu  ||  Prozess-Nicht bekannt, Mensch-Nicht ausgebildet  ||  People-Not trained  ||  Persona-No entrenada  ||  Personnes-Non formées]",,,,,,,,,,,false,,2024-06-30,,,,,DOA concern,,[],[],[],[],,,false
0,0,279.0,279.0,1-,000210596609,[A330],1-SMS  Harness EMI Protection between Safety Barrier Box and tank,2023-09-22,1VMI,1VMI,QLLM,N,1,1,false,00,00,00,0000,[MSN 1795],,[89],[FTI],N,,"[xxxx, xxxx]","[NZ351, TZ351]","[Safety Barrier Box, Safety Barrier Box]",,,,[OTHERS],[OTH],[HZR-2023-03-0005],,false,,false,,false,,false,,false,,2023-03-17," 
 a mismatch between specialist requirements for the integration of SBB and the integration standards rules (SIDP89, ,FCIP 89A001V, and Technical Sheet NZ351 <(>&<)> TZ351). 
  
  a faraday cage (EMI Protection) is missing from the fuel Tank connector to the SBB (Safety Barrier Box). It was not requested within Requirements documentation (Rules) 
  
 Different kind of Requirements Documentation don't describe the same rules: all documents weren't present (Loss of Data, old version are used on metallic A/C: not the same rules: Not the same rule about EMI Protection) 
 ",," 
 the main landing Gear Bay (MLG- bay) 
 On the Center tank",," 
 Mar 17, 2023",," 
 Equipement Specialist itself has detected the issue",," 
 During a visit",," 
 a mismatch between specialist requirements for the integration of SBB and the integration standards rules (SIDP89, ,FCIP 89A001V, and Technical Sheet NZ351 <(>&<)> TZ351).",,[DRFT],DRFT,[2023-09-22 08:44:26],,,,,,,,,," 
 - availibility of the backshells could be an issue (XLR RCT)",," 
 - on metallic A/C: not the same rules about EMI Protection 
  
 - good Design are provided within Wings but not within Tank in Fuselage and RCT and ACT (Auxillary Center Tank)",," 
 - people (BLL) don't have a good vision about EMI protection (Good tools but don't have a global vision). They need to have more information 
  
 - Different kind of solutions are provided from different teams",,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,TOULOUSE,,[],[],[],[],,,false
100,0,98.0,98.0,SM,000210607114,[A320],SMS: Maintenance task escalation letter not up to date,2023-09-25,SIMCI,SIMA,SIMA,N,1,1,false,04,03,05,0060,,,,,N,,,,,,,,"[QUALITY REVIEW, OCCURENCE]","[OCC, QRE]","[OCC 23.08634, None]",,true,,false,,false,,false,,false,,2023-06-30," 
 Extended OMP for ACJ customers:",," 
 Escalation letter (delivered as ""appendix"" of the OMP) contains incorrect information 
  
 Detected by customer Luxaviation (LMJ) when reviewing the latest version of the escalation letter and comparing it with one issued previously",," 
 Upon receiving the lastest Extended OMP on customer side",," 
 CAMO on customer side (Luxaviation)",," 
 Comparing latest escalation letter with previous version",," 
 MPD task 341300-11-1 (previously listed in the escalation letter) had its interval reduced to 4MO back in 2017, but the letters issued to customers (several) were not updated to reflect this change. Reason: Escalation letters are issued without validity information and, once issued, are not reviewed regularly by Airbus for correctness and update needs, resulting in outdated letters (which do not reflect current MRBR / MPD tasks or intervals anymore) being used by customers 
  
 Full information from initial issue reporting: 
  
 1)Background 
 - A-Check Escalation Letter delivered to some CJ Customers (FOC to CAMP Customers) to optimized some A-Check tasks from 4MO to 6MO. 
 - MPD task 341300-11-1 (previously listed in the Letter) had its interval reduced to 4MO back in 2017. 
 - No communication made internally about this change (no link between the MPD task interval update and the A-Check Escalation Letter). 
 - New Escalation Letters do not include this task but previous Letters delivered to Customers have not been revised. 
 - No communication towards Customers who already received the Letter (before 2017). 
 - The Letter does not include any disclaimer that would require Customer to reassess the MPD task applicability/interval according to the successive MPD revisions. 
  
 2) Issue 
 It is likely that some CJ Customers are planning MPD tasks every 6MO instead of 4MO) as per the outdated Letter they received.",,"[DRFT, S0, S1, S4, S5]",S5,[2023-09-25 16:15:24],2023-10-06,2023-10-06,[2023-10-10 10:32:17],[2023-10-24 15:42:16],,,,,," 
 N/A"," 
 N/A"," 
 Query Answering 
 OMP Creation"," 
 N/A"," 
 Maintenance Program Manager 
 Customer Manager 
 Customers"," 
 N/A",,2023-10-24," 
 Customers are following the outdated Escalation Letter they received",," 
 There was no disclaimer for the customer to reassess the MPD task applicability/interval according to the successive MPD revisions >>> Why? Escalation letter as part of the OMP was never introduced into the product definition >>> Root cause #1",," 
 xxxxx Separator for new tree branch xxxxx There was no communication to customers who received the escalation letter on the MPD task removal",," 
 There was no communication internally about the change to the MPD task interval",," 
 Escalation letter and its creation/update process was never defined in SU.ED.01 >>> Root cause #2",,"[Escalation letter and its creation/update process was never defined in SU.ED.01, Escalation letter as part of the OMP was never introduced into the product definition]","[Proceso-No descrito  ||  Process-Not described  ||  Processus-Non décrit  ||  Prozess-Nicht beschrieben, Doc.-No actual  ||  Doc.-Non mis à jour  ||  Doc.-Not updated  ||  Dok.-Nicht aktuell]",,,,,,,,,,,false,,2024-01-31,,,,,CS-ENG.MTN.SMS.DOA,,[],[],[],[],,,false
100,100,12.0,10.0,1V,000210666836,[A321NEO],1V - SMS - SA MSN 6839  Pre-Flight Check without up to date Aircraft Limitations  (ACL),2023-10-05,1VXT,Q1VT,1YDZ,N,1,2,false,03,03,06,0054,[MSN 6839],,,[FTC],N,,[SA27ACL230090V2],[XXX],,,,[ACL ref:  SA27ACL230090V2],"[TEST, SARI]","[SAR, TES]","[23.11276, TER-2023-09/0005]",,true,,true,,true,,true,,false,,2023-09-29," 
 Une visite avant vol (Visite MCA 32080541200-131-00-IssueH6) a été réalisé sans la mise à jour du document ACL ref SA27ACL230090V2",," 
 A la Gate au M81. Au AOA (angle of attack) Sensor Test (Stall Warning Test) 
 Test réalisé au niveau du Cockpit.",," 
  
 Au moment de la visite Pré-Flight: le 21/09/23 07:15 Vol F476 prévu pour 8h00 
 Au AOA (angle of attack) Sensor Test (Stall Warning Test)",," 
 Le QLS a alerté",," 
 Lors de la visite Pre-Flight par le QLS, un test AOA n'a pas fonctionné. 
 Le TFE a été appelé et a informé le QLS de l'existence de l'ACL SA27ACL230090V2 à appliquer.",," 
 -Le QLS a lancé ses visites. 
 -Un test AOA: le test ne passe pas 
 -Le controle des limitations a été fait suite au test non fonctionnel lors de la pré-visite mais n'a rien trouvé pour expliquer cette panne 
 -Le TFE a été appelé 
 -Le TFE avait connaissance de l'ACL et a informé le QLS en lui expliquant le contenu de l'ACL manquant dans la visite 
 -Le QLS a appliqué la procédure avant vol de l'ACL avec test OK 
 -Le QLS a stampé la visite standard sans préciser l'application de l'ACL: pas tracé dans l'ALB 
 -Le TFE, en plus de la problématique du module ADIS, a décidé de ne pas voler. 
  
 Problemes: 
  -Visite limitation pas à jour 
  -Absence de tracabilité dans l'ALB 
 ",,"[DRFT, S0, S1, S4, S1, S4, S5, S4, S1, S4, S5]",S5,[2023-10-05 15:47:19],2023-10-09,2023-10-11,"[2023-12-05 15:23:34, 2023-12-05 16:00:04, 2023-12-08 13:42:35, 2023-12-08 13:44:01]","[2023-12-08 12:00:09, 2023-12-08 13:44:19]",,,,,," 
 ACL ref.: SA27ACL230090V2 
  
 Pre-Flight Check ref.: 
 MCA 32080541200-131-00 IssueH6 
 "," 
 OASIS-COLA providing ACL activation to a given MSN 
  
 RACE tool to perform Pre-Flight check by QLS 
  
 ALB for traceability 
 "," 
 As per Manual M29502.5 
 No deadline date defined for Pre-Flight check update when ACL is raised 
  
 Endorsement SI by production (SI applied). 
 "," 
 N/A"," 
 Usually, for authoring of Pre-Flight check: the author 
 collects several updates before launching modification. Except in case of emergency given from MAP Manager, CAMO or Operational Quality. 
  
 QLS did not apply of ACL v2 
  
 "," 
 -Huge changes of configuration at this period: (around 20 ACLs launched) 
  
 -No prioritization given to Pre-Flight check author for update 
 ",,2023-12-08," 
 attached file",,,,,,,,,,"[RCA 1:The notion of Emergency is not defined within ACL Process, specifically within ACL Maintenance Team (MAP, AQ, TFE, QOM, CAMO, Prod and FTI), RCA 2: nothing is defined in the Oasis Cola tool on the notion of timeframes (no applicability timeframes)]","[Proceso-No adecuado  ||  Process-Not adequate  ||  Processus-Non approprié  ||  Prozess-Nicht geeignet, Herramienta-No disponible  ||  Outils-Non disponible  ||  Tools-Not availiable  ||  Werkzeug-Nicht verfügbar]",,,,,,,,,,,false,,2024-02-15,,,,,Toulouse M81,,[],[],[],[],,,false
100,100,7.0,6.0,1S,000210773220,[A320NEO],1S-FHS-F.SMS DICA(Deviation in Continuing Airworthiness) 2020/00585/B Not performed ESN 598409,2023-10-26,AISBIES,AISBIEP,QBMR,Y,1,1,false,05,05,09,0225,[VT-TNB],,[72],,N,,[598409],[362-000-006-0],[Engine],,,,[OTHERS],[OTH],[2023-047],,true,,false,,false,,false,,false,,2023-10-20," 
 Engine induction",," 
 During shop visit (Off wing)",," 
 During Shop visit",," 
 Engine MRO",," 
 The customer found it",," 
 ESN 598409 had 2 shop visits parllely during year 2020. 
 SIAEC: June 2020 
 Brussles: Sep 2020 Post completion from SIAEC) 
  
 There were several DICAs issued in SIAEC Shop visits during its core module workscope, out of which DICA 2020/00585/B issued had onwing action to perform inspection on the LPT Stage 1 shrouds at 3200 FC. After shop visit completion, the deviations were captured in the SIAEC engine shop Visit documents. The second shop visit was held soon after SIAEC for other workscopes, and the shop visit documents did not contain any references to SIAEC deviations or open items and had listed the deviations issued only in the Brussels shop visit. 
  
 Currently, Engine 598409 has been removed and sent to shop Visit , and it has accrued 3590 FC since the last shop visit without the performance of the inspection on the LPT shroud as per the DICA 2020/0058/B issued by SIAEC. The engine has overflown 390 FC from the DICA limitations when installed on VTTNB 
  
 Chronology of events 
 02 June 2020 (ARC ): ESV at Singapore , released with deviation under discussion and other open items 
 02 Jun to 29 Sep: No in-service record / operation record, engine routed from SIN to BRU 
 29 Sep 2020 (ARC): ESV at Brussels, released with fresh list of deviation and open items, not containing the ones from previous SV 
 14 Oct 2020: Engine installed on aircraft and reviewed documents for supplied shop visit from BRU i.e. dt 29.09.2020. Few discrepancies observed on the VSB compliance from the paperwork of BRU SV, VTI made aware for further action 
 27 Oct 2020: Customer shared the ESV from SIN shop dt 02 June 2020 to close the observation made by TSP on VSB. No review performed on the SV package of previous SV from SIN dt 02 June 2020 
 16 Jan 2023: Engine removed from the aircraft. 
  
 ",,"[DRFT, S0, S1, S4]",S4,[2023-10-26 11:21:28],2023-10-26,2023-10-27,[2023-11-09 08:34:06],,,,,,,,,,,,,,," 
 https://docs.google.com/spreadsheets/d/1-kznmMKdhQYo_2M5Xz4IeQlCOgiHMVR7 
 BkGc5SXOZe0/edit#gid=1031226888<(>&<)>range=A1",,,,,,,,,,"[Airbus did not review the 2nd SV documents provided 15 days post replacement because it was understood that all deviations / open item were part of the latest SV package		, ESN underwent 2 SV without operating onwing due to customer decision]","[Proceso-No conocido  ||  Process-Not known  ||  Processus-Inconnu  ||  Prozess-Nicht bekannt, Mensch-Kommunikationsprob. Individuum/Organisation  ||  People-Human/Organisational interface failure  ||  Personas-Fallo en el interfaz humano/organización  ||  Personnes-Problème d'interface Humain/Organisation]",,,,,,,,,,,false,,,,,,,,,[],[],[],[],,,false
100,100,-5.0,-5.0,1-,000210886525,[A321],1-SMS - TBC - SE-21.0632  - Over wing emergency exit slide release cable not connected,2023-11-16,KQV,1IAI,,N,1,1,false,06,02,09,0108,,,[52],,N,,,,,,,,"[OCCURENCE, SARI]","[OCC, SAR]","[21.09406, SE-21.0632]",,true,,true,,true,,true,,false,,2023-11-21," 
 WO: 115790538 
 Drawing: D522-72640-001 
 Desc.:Notrutschenmechanik 
  
 And OCC investigation: 
 ""Due to some room for interpretation of the definition dossier the working instruction and the related GTI are missing a full assembly procedure of this connection; e.g. it is not explicitly mentioned that these two wires need to be connected to each other. 
 This lack of information will be closed by introduction of an additional test instruction (Door installation drawing for definition, GTR to trigger GTI update)."" 
  
 At a much later stage in the Final Assembly Line (FAL) the system is completed with the slide and the pressure bottle. 
 As per definition of type ST08 the release cable is neither tested nor touched anymore in FAL. This is a deviation to former types of the A320 family (Over Wing Hatch) where the adapter installation was part of ATA2560 in FAL. 
  
 A quality survey (QSR) was launched to investigate that systematic errors can be excluded. Currently about 2/3 of the applicable MSN have been checked in the FALs. 
 Two certain findings are yet reported which renders the topic beeing not an isolated case any more. 
 MSN 10616 in HAM: Wire lockings were missing (LH and RH sid), connections were given. 
 MSN 10711 without connection on both sides (see Corrective Actions block for details)."" 
  
 But in the impact on Airworthiness: ""The investigation does not identify any design deficiency. The most probable root cause is identified in the POA perimeter as 
 the lack of information in the working instruction and in the related ground test instruction.""",," 
 S17, UD, C46-47, P6-8, LH <(>&<)> RH",," 
 Request based on OCC 21.09406: A321NEO ACF MSN 8517 - Overwing emergency exit slide release cable not connected; 
 The issue was detected the Nov 9, 2021. 
 ",," 
 The customer",," 
 During the MPD task, in inservice",," 
 During a ToW from one Design organisation to another (Cabin to Structure) the GTR creation has been forgotten. Consequently the slide release cable joint was found not properly connected, preventing this way the activation of the pressurized bottle and therefore slide deployment 
  
 Object: Slide release cable 
 Defect: not connected 
 ",,"[DRFT, S0, S1]",S1,[2023-11-16 09:25:02],2023-11-16,2023-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,DOA TBD,,[],[SE-21.0632],[],[],,,false
100,100,17.0,17.0,1V,000211059028,[A350-1000],1V SMS - MSN 59 Lost FTI panel Flap Support Fairing 2 RH WING,2023-12-15,1VXY,1VMEO,Q1V,N,1,2,false,08,04,06,0192,,,[57],,N,,,,,,,,[TEST],[TES],[TER-2023-11/0013],,true,,true,,true,,false,,false,,2023-12-01," 
 During F599, 2 flight displays training (2T/O <(>&<)> 2LDG) performed for pilots and airfield procedures familiarization. 
 Nothing to report on A/C side after landing. 
 During post flight walkaround inspection, Quality inspector reported to TFE a panel missing on RH WING Flap Support Fairing 2 FIN 550ZXA1, PN V89ZI001173210.",," 
 On the fairing 2 of the right hand wing",," 
 During post flight walk around inspection",," 
 QLS MSN 59 from Q1VT (Grégory ROLLAND, Mael LE COZ)",," 
 Visually, with the post flight walk around inspection",," 
 During post flight walkaround inspection, Quality inspector identified missing Flap Support Fairing 2 on right hand wing",,"[DRFT, S0, S1]",S1,[2023-12-15 15:42:46],2023-12-18,2023-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,[],[],[],[],,,false
100,0,34.0,34.0,1I,000210089008,[ALL],1I-SMS_Incorrect usage of M1017 to validate ICY through RDAF,2023-05-22,1SYCY,1IVX,1IAI,N,1,1,false,04,04,05,0080,,,,,N,,,,,,,,[OTHERS],[OTH],[2023-Apr-0001],,true,,false,,false,,false,,false,,2023-04-25," 
 Release of an RDAF to install a spare part (alternative PN from a supplier, which is not qualified for the datum A/C) using the SIAS (Spare Interchangeability Approval Sheet, see M1017) process. 
 Problem is that SIAS process only applies to structural parts and not to equipement 2 cases TR 81059831 <(>&<)> 81095315. 
  
 At the initialization of the systemic case, it was shared that the SIAS was only applicable for AIRBUS part and not supplier part, but following the meeting performed the 13/10/2023, with M1017 Process owner it was clarified that it is applicable for Airbus and Suppliers structural parts but not for Airbus or Suppliers equipments. 
  
 The misuse of the M1017 is frequent to validate supplier parts. 
  
 ",," 
 Speak-up",," 
 With a speak-up (2023-Apr-0001), the 1S SMS Officer has made a first analysis which summary is available in the attachement.",," 
 Speak-up originator",," 
 He was handling the tech request where the RDAF has been shared with the customer.",," 
 RDAF (M21031 - A2848.5) provides an SIAS on equipements when the SIAS is not applicable for equipement. When the intercheangebility of equipment is not mentioned by the supplier in the EDES (Equipment Definition Evolution Sheet), a MAS update has to be required (as per M1017)",,"[DRFT, S0, S1, S4, S1, S4]",S4,[2023-05-22 10:52:24],2023-05-29,2023-05-29,"[2023-07-04 15:59:26, 2023-10-17 15:02:00]",,,,,,,,,,,,,,,,,,,,,,,,,"[SIAS form doesn't reflect the limitation, SIAS form is not known as not applicable to Equipements by Customer services/1S, Design Officer and DAE team, For equipment there is no equivalent process as M1017 (SIAS).
The process MOD (MAS update) need to be applied and in AOG context, the MOD process is too long to allow its use.]","[Proceso-No descrito  ||  Process-Not described  ||  Processus-Non décrit  ||  Prozess-Nicht beschrieben, Proceso-No conocido  ||  Process-Not known  ||  Processus-Inconnu  ||  Prozess-Nicht bekannt, Proceso-No adecuado  ||  Process-Not adequate  ||  Processus-Non approprié  ||  Prozess-Nicht geeignet]",,,,,,,,,,,false,,,,,,,DOA,,[],[],[],[],,,false
